ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
candied citron and orange,8.0,1.0,9.0,0.12658227848101267,0.30781069642170067,0.181228417940688
hazelnut,8.0,1.0,9.0,0.12658227848101267,0.30781069642170067,0.181228417940688
celery heart,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
pumpkin,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
young chicken,1.0,8.0,9.0,1.0126582278481013,0.038476337052712584,-0.9741818907953887
fennel,2.0,7.0,9.0,0.8860759493670887,0.07695267410542517,-0.8091232752616635
smoked pancetta,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
snail,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
lean beef,3.0,6.0,9.0,0.7594936708860759,0.11542901115813775,-0.6440646597279381
veal pulp,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
mascarpone,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
asparagus,7.0,2.0,9.0,0.25316455696202533,0.2693343593689881,0.016169802406962752
puff pastry,6.0,2.0,8.0,0.25316455696202533,0.2308580223162755,-0.02230653464574983
borettane onion,6.0,2.0,8.0,0.25316455696202533,0.2308580223162755,-0.02230653464574983
swordfish,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
tagliatelle,7.0,1.0,8.0,0.12658227848101267,0.2693343593689881,0.14275208088797542
linguine,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
dried bean,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
veal brain,7.0,1.0,8.0,0.12658227848101267,0.2693343593689881,0.14275208088797542
baby octopus,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
white wine or marsala,1.0,7.0,8.0,0.8860759493670887,0.038476337052712584,-0.8475996123143761
red garlic,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
dried chickpea,7.0,1.0,8.0,0.12658227848101267,0.2693343593689881,0.14275208088797542
tropea onion,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
trout,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
ground meat,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
salsiccia,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
fresh ricotta,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
mixed fish,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
veal liver,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
wild chicory,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
toasted bread slice,8.0,0.0,8.0,0.0,0.30781069642170067,0.30781069642170067
chicken broth,7.0,1.0,8.0,0.12658227848101267,0.2693343593689881,0.14275208088797542
gelatin,1.0,7.0,8.0,0.8860759493670887,0.038476337052712584,-0.8475996123143761
