ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
bouquet garni,6.0,8.0,14.0,1.0126582278481013,0.2308580223162755,-0.7818002055318258
dried chestnut,13.0,1.0,14.0,0.12658227848101267,0.5001923816852636,0.3736101032042509
tripe,12.0,2.0,14.0,0.25316455696202533,0.461716044632551,0.20855148767052567
green olive,14.0,0.0,14.0,0.0,0.5386687187379762,0.5386687187379762
capon,11.0,3.0,14.0,0.37974683544303794,0.42323970757983836,0.04349287213680042
pear,9.0,5.0,14.0,0.6329113924050633,0.34628703347441325,-0.2866243589306501
fresh pecorino cheese,14.0,0.0,14.0,0.0,0.5386687187379762,0.5386687187379762
buckwheat flour,13.0,0.0,13.0,0.0,0.5001923816852636,0.5001923816852636
stockfish,13.0,0.0,13.0,0.0,0.5001923816852636,0.5001923816852636
lentil,9.0,4.0,13.0,0.5063291139240507,0.34628703347441325,-0.1600420804496374
octopus,13.0,0.0,13.0,0.0,0.5001923816852636,0.5001923816852636
pork rib,13.0,0.0,13.0,0.0,0.5001923816852636,0.5001923816852636
beef marrow,6.0,7.0,13.0,0.8860759493670887,0.2308580223162755,-0.6552179270508132
frog,9.0,4.0,13.0,0.5063291139240507,0.34628703347441325,-0.1600420804496374
cured meat,0.0,13.0,13.0,1.6455696202531647,0.0,-1.6455696202531647
wine,12.0,1.0,13.0,0.12658227848101267,0.461716044632551,0.33513376615153834
fennel seed,12.0,1.0,13.0,0.12658227848101267,0.461716044632551,0.33513376615153834
cabbage,9.0,4.0,13.0,0.5063291139240507,0.34628703347441325,-0.1600420804496374
ice,0.0,13.0,13.0,1.6455696202531647,0.0,-1.6455696202531647
boiling water,9.0,3.0,12.0,0.37974683544303794,0.34628703347441325,-0.03345980196862469
reinette apple,8.0,4.0,12.0,0.5063291139240507,0.30781069642170067,-0.19851841750235
toasted bread,11.0,1.0,12.0,0.12658227848101267,0.42323970757983836,0.2966574290988257
pork liver,10.0,2.0,12.0,0.25316455696202533,0.38476337052712584,0.1315988135651005
lettuce,5.0,7.0,12.0,0.8860759493670887,0.19238168526356292,-0.6936942641035257
milk-fed veal,0.0,12.0,12.0,1.5189873417721518,0.0,-1.5189873417721518
shelled pea,7.0,5.0,12.0,0.6329113924050633,0.2693343593689881,-0.36357703303607525
shortcrust pastry,0.0,12.0,12.0,1.5189873417721518,0.0,-1.5189873417721518
corn flour,12.0,0.0,12.0,0.0,0.461716044632551,0.461716044632551
sardine,10.0,2.0,12.0,0.25316455696202533,0.38476337052712584,0.1315988135651005
lean milk-fed veal,0.0,12.0,12.0,1.5189873417721518,0.0,-1.5189873417721518
hare,9.0,3.0,12.0,0.37974683544303794,0.34628703347441325,-0.03345980196862469
hen,12.0,0.0,12.0,0.0,0.461716044632551,0.461716044632551
duck,11.0,1.0,12.0,0.12658227848101267,0.42323970757983836,0.2966574290988257
pitted green olive,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
coffee,9.0,2.0,11.0,0.25316455696202533,0.34628703347441325,0.09312247651238792
anise liqueur,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
pigeon,5.0,6.0,11.0,0.7594936708860759,0.19238168526356292,-0.567111985622513
zucchini flower,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
pistachio,6.0,5.0,11.0,0.6329113924050633,0.2308580223162755,-0.40205337008878783
pitted black olive,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
liqueur,8.0,3.0,11.0,0.37974683544303794,0.30781069642170067,-0.07193613902133728
l'aquila saffron,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
beef broth,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
potato flour,1.0,10.0,11.0,1.2658227848101267,0.038476337052712584,-1.227346447757414
hard-boiled egg yolk,6.0,5.0,11.0,0.6329113924050633,0.2308580223162755,-0.40205337008878783
prosciutto fat,7.0,4.0,11.0,0.5063291139240507,0.2693343593689881,-0.23699475455506258
dried borlotti bean,11.0,0.0,11.0,0.0,0.42323970757983836,0.42323970757983836
clof,10.0,1.0,11.0,0.12658227848101267,0.38476337052712584,0.25818109204611317
fish,4.0,7.0,11.0,0.8860759493670887,0.15390534821085033,-0.7321706011562383
cannellini bean,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
salted tongue,0.0,10.0,10.0,1.2658227848101267,0.0,-1.2658227848101267
bread slice,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
pasta,7.0,3.0,10.0,0.37974683544303794,0.2693343593689881,-0.11041247607404986
shrimp,8.0,2.0,10.0,0.25316455696202533,0.30781069642170067,0.054646139459675336
red mullet,5.0,5.0,10.0,0.6329113924050633,0.19238168526356292,-0.4405297071415004
montasio,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
pork pulp,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
red onion,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
fruit preserve,0.0,10.0,10.0,1.2658227848101267,0.0,-1.2658227848101267
sweet pepper,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
soaked salted cod,9.0,1.0,10.0,0.12658227848101267,0.34628703347441325,0.21970475499340059
white celery,3.0,7.0,10.0,0.8860759493670887,0.11542901115813775,-0.7706469382089509
yellow onion,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
arborio rice,10.0,0.0,10.0,0.0,0.38476337052712584,0.38476337052712584
alchermes liqueur,6.0,4.0,10.0,0.5063291139240507,0.2308580223162755,-0.27547109160777516
tuna,9.0,1.0,10.0,0.12658227848101267,0.34628703347441325,0.21970475499340059
soaked stockfish,9.0,1.0,10.0,0.12658227848101267,0.34628703347441325,0.21970475499340059
guinea fowl,9.0,1.0,10.0,0.12658227848101267,0.34628703347441325,0.21970475499340059
tench,7.0,3.0,10.0,0.37974683544303794,0.2693343593689881,-0.11041247607404986
gelatin sheet,2.0,8.0,10.0,1.0126582278481013,0.07695267410542517,-0.9357055537426762
amaretti cookie,8.0,2.0,10.0,0.25316455696202533,0.30781069642170067,0.054646139459675336
pig's trotter,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
sapa,5.0,4.0,9.0,0.5063291139240507,0.19238168526356292,-0.31394742866048775
chili powder,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
escarole,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
white truffle,7.0,2.0,9.0,0.25316455696202533,0.2693343593689881,0.016169802406962752
anchovy in oil,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
maccheroni,8.0,1.0,9.0,0.12658227848101267,0.30781069642170067,0.181228417940688
amaretti,8.0,1.0,9.0,0.12658227848101267,0.30781069642170067,0.181228417940688
peanut oil,9.0,0.0,9.0,0.0,0.34628703347441325,0.34628703347441325
cured tongue,2.0,7.0,9.0,0.8860759493670887,0.07695267410542517,-0.8091232752616635
whipped cream,5.0,4.0,9.0,0.5063291139240507,0.19238168526356292,-0.31394742866048775
